id,sequence,segment_id,segment_name,point_name,province,city_or_area,latitude,longitude,coordinate_precision,source_level,replication_feasibility,difficulty,best_season,transport_hint,risk_note,source_note,url
LTR-P001,1,S01,北京出发线,北京,Beijing,Beijing,39.9042,116.4074,city,E_project_internal,high,easy,Apr-Oct,北京首都国际机场 / 北京大兴机场 / 高铁北京,"出发地,无特殊风险","行旅图谱辽塔路线 S01 起点",https://conanxin.github.io/culture-roadtrip-atlas/trips/liao-tower-roadtrip/
LTR-P002,2,S01,北京出发线,锦州,Liaoning,Jinzhou,41.0950,121.1268,city,E_project_internal,medium,easy,Apr-Oct,京哈高速 G1 / 高铁锦州南,"长途自驾,注意疲劳","行旅图谱辽塔路线 S01 当晚驻点",https://conanxin.github.io/culture-roadtrip-atlas/trips/liao-tower-roadtrip/
LTR-P003,3,S02,义县佛教遗存线,义县奉国寺,Liaoning,Yixian,41.5300,121.2400,landmark,E_project_internal,medium,easy,May-Oct,义县县城 / G2512 高速义县出口,"辽代木构大殿,需注意开放时间","义县奉国寺 辽代木构 1961 国保",http://www.fengguosi.cn/
LTR-P004,4,S02,义县佛教遗存线,义县万佛堂石窟,Liaoning,Yixian,41.5650,121.2600,landmark,E_project_internal,medium,easy,May-Oct,义县西北 9 公里 / 大凌河西岸,"石窟小众点位,需关注保护情况","万佛堂石窟 北魏石窟 1988 国保",https://baike.baidu.com/item/%E4%B8%87%E4%BD%9B%E5%A0%82%E7%9F%B3%E7%AA%9F
LTR-P005,5,S03,北镇医巫闾山线,北镇市区,Liaoning,Beizhen,41.8500,121.7500,city,E_project_internal,medium,easy,Apr-Oct,京哈高速 G1 转 G16 / 北镇市区,"城市级驻点,周边餐饮成熟","北镇原名广宁,辽代显州",https://baike.baidu.com/item/%E5%8C%97%E9%95%87
LTR-P006,6,S03,北镇医巫闾山线,北镇崇兴寺双塔,Liaoning,Beizhen,41.8540,121.7560,landmark,E_project_internal,medium,easy,Apr-Oct,北镇市区东北 / 步行可达,"辽代双塔,2013 国保;周边有街区","崇兴寺双塔 辽代 2013 国保第七批",https://baike.baidu.com/item/%E5%B4%87%E5%85%B4%E5%AF%BA%E5%8F%8C%E5%A1%94
LTR-P007,7,S03,北镇医巫闾山线,医巫闾山,Liaoning,Beizhen,41.8500,121.6800,region,E_project_internal,medium,medium,May-Oct,北镇市区西 / 山体区域,"山地区域,需注意天气与封山","医巫闾山 五镇山之一 1982 国家级",https://baike.baidu.com/item/%E5%8C%BB%E5%B7%AB%E9%97%B8%E5%B1%B1
LTR-P008,8,S04,朝阳辽塔线,朝阳北塔,Liaoning,Chaoyang,41.5760,120.4590,landmark,E_project_internal,high,easy,Apr-Oct,朝阳市内 / 慕容街北端,"前燕 / 北魏 / 隋唐 / 辽多层;1988 国保","朝阳北塔 五世同堂 1988 国保第三批",https://baike.baidu.com/item/%E6%9C%9D%E9%98%B3%E5%8C%97%E5%A1%94
LTR-P009,9,S04,朝阳辽塔线,朝阳南塔,Liaoning,Chaoyang,41.5680,120.4590,landmark,E_project_internal,medium,easy,Apr-Oct,朝阳市内 / 北塔南侧,"辽代南塔,与北塔对望","朝阳南塔 辽代砖塔",https://baike.baidu.com/item/%E6%9C%9D%E9%98%B3%E5%8D%97%E5%A1%94
LTR-P010,10,S05,朝阳赤峰转场线,牛河梁国家考古遗址公园,Liaoning,Niuheliang / Lingyuan,41.0500,119.3500,region,E_project_internal,medium,medium,May-Oct,凌源市东 / 长深高速 G25,"红山文化核心;需提前预约","牛河梁 红山文化 2012 入选国家考古遗址公园",https://baike.baidu.com/item/%E7%89%9B%E6%B2%B3%E6%A2%81%E9%81%97%E5%9D%80%E5%85%AC%E5%9B%AD
LTR-P011,11,S05,朝阳赤峰转场线,赤峰市区,Inner Mongolia,Chifeng,42.2580,118.8880,city,E_project_internal,medium,easy,Apr-Oct,长深高速 G25 转大广高速 G45 / 赤峰,"转场城市,餐饮齐全","赤峰 红山命名地,辽代重要州城",https://baike.baidu.com/item/%E8%B5%A4%E5%B3%B0%E5%B8%82
LTR-P012,12,S06,庆州白塔林东线,庆州白塔,Inner Mongolia,Bairin Right Banner,43.5200,118.6700,landmark,E_project_internal,medium,medium,May-Sep,巴林右旗索博日嘎镇 / 远离高速,"辽代释迦佛舍利塔;偏远点位","庆州白塔 辽代 2013 国保第七批",https://baike.baidu.com/item/%E5%BA%86%E5%B7%9E%E7%99%BD%E5%A1%94
LTR-P013,13,S06,庆州白塔林东线,林东(巴林左旗),Inner Mongolia,Bairin Left Banner,43.9700,119.3800,city,E_project_internal,medium,easy,May-Sep,G303 / 巴林左旗旗政府,"辽上京所在地,夜宿地","巴林左旗 辽代祖州祖陵所在",https://baike.baidu.com/item/%E5%B7%B4%E6%9E%97%E5%B7%A6%E6%97%97
LTR-P014,14,S07,辽上京核心日,辽上京遗址,Inner Mongolia,Bairin Left Banner,43.9700,119.4000,landmark,E_project_internal,medium,easy,May-Oct,林东镇东南 / 步行可达,"契丹建国之都,1961 国保;现场保护有限","辽上京遗址 1961 国保第一批",https://baike.baidu.com/item/%E8%BE%BD%E4%B8%8A%E5%8D%8A%E9%81%97%E5%9D%80
LTR-P015,15,S07,辽上京核心日,真寂之寺,Inner Mongolia,Bairin Left Banner,44.0200,119.3900,landmark,E_project_internal,medium,easy,May-Oct,林东镇北 / 杏花山下,"辽代石窟,较小众;关注开放","真寂之寺 辽代石窟",https://baike.baidu.com/item/%E7%9C%9F%E5%AF%82%E4%B9%8B%E5%AF%BA
LTR-P016,16,S08,辽中京宁城承德线,宁城,Inner Mongolia,Ningcheng,41.6000,119.3400,city,E_project_internal,medium,easy,May-Oct,赤凌高速 / 宁城县,"辽中京过境地","宁城县 辽代中京道范围",https://baike.baidu.com/item/%E5%AE%81%E5%9F%8E%E5%8E%BF
LTR-P017,17,S08,辽中京宁城承德线,大明塔(辽中京塔),Inner Mongolia,Ningcheng,41.6000,119.3300,landmark,E_project_internal,medium,easy,May-Oct,宁城县铁匠营子村 / 辽中京遗址,"现存辽塔第一高,82.6 米","大明塔 辽代 2013 国保第七批",https://baike.baidu.com/item/%E5%A4%A7%E6%98%8E%E5%A1%94
LTR-P018,18,S08,辽中京宁城承德线,承德市区,Hebei,Chengde,40.9510,117.8750,city,E_project_internal,medium,easy,Apr-Oct,长深高速 G25 / 京承高铁,"清代热河;夜宿地","承德 清代热河驻地",https://baike.baidu.com/item/%E6%89%BF%E5%BE%B7%E5%B8%82
LTR-P019,19,S09,承德北京收束线,避暑山庄,Hebei,Chengde,40.9880,117.9380,landmark,E_project_internal,medium,easy,Apr-Oct,承德市区北部 / 步行可达,"清代皇家园林,1961 国保","避暑山庄 1994 列入世界文化遗产",https://baike.baidu.com/item/%E9%81%BF%E6%9A%91%E5%B1%B1%E5%BA%84
LTR-P020,20,S09,承德北京收束线,北京,Beijing,Beijing,39.9042,116.4074,city,E_project_internal,high,easy,All year,京承高速 G45 / 京哈高铁,"返程驻点,需注意回程拥堵","行旅图谱辽塔路线 S09 终点",https://conanxin.github.io/culture-roadtrip-atlas/trips/liao-tower-roadtrip/